"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"FARNELL";"HEIGHT";"MANUFACTURER";"POWER";"PRICE_PER";"STOCK";"TEMP_CO";"TME";"TOLERANCE";"VALUE";"VOLTAGE";
"1";"75k";"CRCW060375K0FKEB";"0603";"R12";"75000 ±1% 75k Thick Film 0.1W, 1/10W 0603";"541-CRCW060375K0FKEBCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"23735";"";"";"±1%";"75k";"";
"1";"820pF 25V";"C0402H821J3GACT1K0";"0402";"C153";"820 25V 820pF ±5% C0G, NP0 0402";"399-16030-1-ND";"";"-";"KEMET";"";"0.73000";"1000";"C0G, NP0";"";"±5%";"820pF 25V";"25V";
"1";"ACT2861";"ACT2861";"QFN32-ACT2861";"U7";"30V Buck-Boost Charger with Integrated MOSFETs and OTG";"1488-1114-1-ND";"";"1";"";"";"2.76";"";"";"";"";"ACT2861";"";
"4";"AP62301";"AP62301Z6-7";"SOT563-6";"U17, U18, U26, U39";"Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 3A SOT-563, SOT-666";"31-AP62301Z6-7CT-ND";"";"1";"";"";"0.4";"";"";"";"";"AP62301";"";
"1";"AP63300WU-7";"AP63300WU-7";"SOT23-6";"U4";"Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 3A SOT-23-6 Thin, TSOT-23-6";"31-AP63300WU-7CT-ND";"";"1";"";"";"0.84";"";"";"";"";"AP63300WU-7";"";
"2";"B360A-13-F";"B360A-13-F";"DO214AC";"D4, D5";"Schottky Rectifier, 60 V, 3 A, Single, DO-214AC, 2 Pins, 700 mV";"B360A-FDICT-ND";"";"2";"";"";"0.31";"";"";"";"";"B360A-13-F";"";
"4";"BSS214";"BSS214NWH6327XTSA1";"SC70-3";"Q6, Q7, Q8, Q9";"N-Channel 20 V 1.5A (Ta) 500mW (Ta) Surface Mount PG-SOT323";"BSS214NWH6327XTSA1CT-ND";"";"1.1";"";"";"0.4";"";"";"";"";"BSS214";"";
"1";"EMC1812T";"EMC1812T";"DFN8";"U25";"Temperature Sensor Digital, Remote 8-WDFN (2x2)";"EMC1812T-AE/RWCT-ND";"";"0.5";"";"";"0.52";"";"";"";"";"EMC1812T";"";
"1";"ESP32";"ESP32-WROOM-32D";"ESP32-WROOM-32D";"U14";"Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount";"1904-1023-1-ND";"";"5";"";"";"3.01";"";"";"";"";"ESP32";"";
"1";"FDN302P";"FDN302P";"SUPERSOT";"Q2";"MOSFET Transistor, P Channel, -2.4 A, -20 V, 55 mohm, -4.5 V, -1 V";"FDN302PCT-ND";"";"1";"";"";"0.41";"";"";"";"";"FDN302P";"";
"1";"FF0881SA1";"FF0881SA1";"CONN81_FF0881SA1_JAE";"CN4";"81 Position FPC Connector Contacts, Bottom 0.008" (0.20mm) Surface Mount, Right Angle";"670-2476-ND";"";"1";"";"";"2.6";"";"";"";"";"FF0881SA1";"";
"2";"GD25LQ128E";"GD25LQ128ESIGR";"SO8";"U12, U38";"FLASH - NOR Memory IC 128Mbit SPI - Quad I/O 120 MHz 7 ns 8-SOP";"1970-GD25LQ128ESIGRCT-ND";"";"2";"";"";"1.71";"";"";"";"";"GD25LQ128E";"";
"1";"GMAX0505-DV";"GMAX0505";"GMAX0505";"U1";"1.1" 25MP Global Shutter CMOS Image Sensor";"";"";"3.1";"";"";"300";"";"";"";"";"GMAX0505-DV";"";
"1";"INA180";"INA180A1IDBVR";"SOT23-5";"U16";"INA180 Low- and High-Side Voltage Output, Current-Sense Amplifiers";"296-47652-1-ND";"";"2";"";"";"0.44";"";"";"";"";"INA180";"";
"2";"LM2663";"LM2663D";"SO8";"U27, U29";"Low cost. SO8. LM266x switched capacitor negative voltage rail generator.";"LM2663MX/NOPBCT-ND";"";"1.5";"";"";"1.79";"";"";"";"";"LM2663";"";
"1";"LM2731X";"LM2731XMF";"SOT23-5";"U30";"LM2731XMF/NOPB  BOOST CONVERTER, 5-SOT-23";"LM2731XMF/NOPBCT-ND";"";"1.45";"";"";"1.65";"";"";"";"";"LM2731X";"";
"1";"MAX1735";"MAX1735EUK50+T";"SOT23-5";"U32";"Linear Voltage Regulator IC Negative Adjustable (Fixed) 1 Output  200mA SOT-23-5";"MAX1735EUK50+TCT-ND";"";"1";"";"";"2.20";"";"";"";"";"MAX1735";"";
"5";"MAX25300B";"MAX25300BATA/V+";"DFN8";"U13, U15, U20, U21, U22";"Linear Voltage Regulator IC Positive Adjustable 1 Output 0.6 to 5.3V Vout 500mA 8-TDFN-EP (2x2)";"175-MAX38902BATA+TCT-ND";"";"1";"";"";"0.6";"";"";"";"";"MAX25300B";"";
"1";"MIMXRT117HDVMAA";"MIMXRT117HDVMAA";"MAPBGA289";"U3";"ARM® Cortex®-M4, Cortex®-M7 RT1170 Microcontroller IC 32-Bit Dual-Core 400MHz, 1GHz 256KB (256K x 8) ROM 289-LFBGA (14x14)";"568-MIMXRT117HDVMAA-ND";"";"1.4";"";"";"22.97";"";"";"";"";"MIMXRT117HDVMAA";"";
"1";"MP2148";"MP2148GQD-Z";"QFN6";"U33";"Buck Switching Regulator IC Positive Adjustable 0.6V 1 Output 1A 6-VFDFN";"1589-1564-1-ND";"";"1";"";"";"1.33";"";"";"";"";"MP2148";"";
"1";"NAND";"SN74LVC1G132DCKT";"SC70-5";"U24";"NAND Gate IC 1 Channel Schmitt Trigger SC-70-5";"296-46208-1-ND";"";"1.1";"";"";"0.74";"";"";"";"";"NAND";"";
"8";"NO FIT";"ERJ-2RKF1001X";"0402";"R139, R143, R144, R147, R148, R149, R150, R151";"1000 1k0 0402 0.1W 1% thick film resistor.";"P1.00KLCT-ND";"";"0.4";"";"";"0.07";"";"";"";"";"1.0k";"";
"1";"NO FIT";"GRM188R61A106KE69D";"0603";"C159";"10uF 10V X5R 10% 0603 MLCC.";"490-10474-1-ND";"";"0.95";"";"";"0.17";"";"";"";"";"10uF 10V";"";
"2";"PESD5Z5.0";"PESD5Z5.0";"SC-79";"D1, D3";"Low capacitance unidirectional ElectroStatic Discharge (ESD) protection diode. 5V.";"1727-5165-1-ND";"";"0.5";"";"";"0.22";"";"";"";"";"PESD5Z5.0";"";
"2";"PMEG4010BEA";"PMEG4010BEA";"SOD-323";"D8, D10";"1A, 40V Schottkey rectifier. SOD323.";"1727-5211-1-ND";"";"1.2";"";"";"0.29";"";"";"";"";"PMEG4010BEA";"";
"1";"SCHMITT";"SN74LVC1G17DBVR";"SOT23-5";"U19";"TEXAS INSTRUMENTS SN74LVC1G17DBVR  IC, BUFFER, SCHMITT TRIG";"296-11933-1-ND";"";"1.5";"";"";"0.24";"";"";"";"";"SCHMITT";"";
"1";"SI7489DP";"SI7489DP-T1-E3";"SO8_POWERPAK";"Q5";"P Channel, -28A, -100V, 0.033 ohm, -10V, -3V";"SI7489DP-T1-E3CT-ND";"";"2";"";"";"2.16";"";"";"";"";"SI7489DP";"";
"1";"SN74LVC1G3";"SN74LVC1G32DBVR";"SOT23-5";"U23";"SN74LVC1G32DBVR  IC, OR-GATE, SINGLE 2-INPUT, 5SOT23";"296-9847-1-ND";"";"1";"";"";"0.157";"";"";"";"";"SN74LVC1G3";"";
"1";"STM32L431RBT";"STM32L431RBT6";"QFP64_SMALL";"U5";"ARM® Cortex®-M4 STM32L4 Microcontroller IC 32-Bit 80MHz 128KB (128K x 8) FLASH 64-LQFP (10x10)";"497-16837-ND";"";"1";"";"";"3.98";"";"";"";"";"STM32L431RBT";"";
"1";"STUSB4500";"STUSB4500QTR";"QFN24";"U9";"USB Controller USB 2.0 I²C Interface 24-QFN-EP (4x4)";"497-STUSB4500LQCT-ND";"";"1";"";"";"1.33";"";"";"";"";"STUSB4500";"";
"7";"TACT";"PTS830GM140_SMTR_LFS";"PTS830GM140";"SW1, SW2, SW3, SW4, SW5, SW6, SW7";"Tactile Switch SPST-NO Top Actuated Surface Mount";"CKN10587CT-ND";"";"1.4";"";"";"0.51";"";"";"";"";"TACT";"";
"1";"TLV61046A";"TLV61046ADBVR";"SOT23-6";"U36";"TLV61046A 28-V Output Voltage Boost Converter with Power Diode and Isolation Switch";"296-47674-1-ND";"";"1.5";"";"";"0.81";"";"";"";"";"TLV61046A";"";
"1";"TPS22917";"TPS22917DBVR";"SOT23-6";"U34";"TPS22917 1 V–5.5-V, 2-A, 80-mΩ Ultra-Low Leakage Load Switch";"296-50498-1-ND";"";"1.5";"";"";"0.43";"";"";"";"";"TPS22917";"";
"1";"TPS70912";"TPS70912DBVT";"SOT23-5";"U37";"TPS709xx 150-mA, 30-V, 1-µA IQ Voltage Regulators with Enable";"296-35481-1-ND";"";"1";"";"";"1.07";"";"";"";"";"TPS70912";"";
"1";"TPS70918";"TPS70918DBVT";"SOT23-5";"U8";"TPS709xx 150-mA, 30-V, 1-µA IQ Voltage Regulators with Enable";"296-35676-1-ND";"";"1";"";"";"0.92";"";"";"";"";"TPS70918";"";
"1";"TPS70933";"TPS70933DBVT";"SOT23-5";"U28";"Fixed LDO Voltage Regulator, 2.7V to 30V, 960mV Dropout, 3.3Vout, 150mAout, SOT-23-5";"296-39474-1-ND";"";"1";"";"";"1.00";"";"";"";"";"TPS70933";"";
"1";"TPS70950";"TPS70950DBVT";"SOT23-5";"U35";"LDO Voltage Regulator, Fixed, 2.7V to 30V input, 690 mV drop., 5 V/150 mA out, SOT-23-5";"296-37567-1-ND";"";"2";"";"";"1.21";"";"";"";"";"TPS70950";"";
"1";"Ti60F225C4";"TI60F225C4";"FBGA225";"U6";"Titanium™ Field Programmable Gate Array (FPGA) IC 163 2726298 62016 225-BGA";"2134-TI60F225C4-ND";"";"1";"";"";"24.27";"";"";"";"";"Ti60F225C4";"";
"1";"USBLC6-2SC6";"USBLC6-2SC6";"SOT23-6";"U31";"Very low capacitance ESD protection";"497-11882-1-ND";"";"1.5";"";"";"0.38";"";"";"";"";"USBLC6-2SC6";"";
"2";"W958D8NBYA5I";"W958D8NBYA5I";"VBGA24";"U10, U11";"PSRAM (Pseudo SRAM) Memory IC 256Mbit HyperBus 200 MHz 35 ns 24-TFBGA (6x8)";"256-W958D8NBYA5ITRCT-ND";"";"2";"";"";"3.73";"";"";"";"";"W958D8NBYA5I";"";
"4";"WHITE";"B1931TW--20P000314U1930";"0603_POLAR";"D6, D7, D9, D13";"White LED Indication - Discrete 3.2V 0603 (1608 Metric)";"3147-B1931TW--20P000314U1930CT-ND";"";"1";"";"";"0.08";"";"";"";"";"WHITE";"";
