"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"FARNELL";"HEIGHT";"MANUFACTURER";"POWER";"PRICE_PER";"STOCK";"TEMP_CO";"TME";"TOLERANCE";"VALUE";"VOLTAGE";
"68";"10k";"ERJ-2RKF1002X";"0402";"R1, R2, R3, R7, R8, R9, R13, R14, R15, R19, R20, R21, R25, R26, R27, R28, R35, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R73, R74, R78, R81, R82, R87, R88, R89, R90, R91, R97, R99, R100, R101, R102, R103, R104, R105, R111, R112, R113, R114, R115, R116, R117, R118, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R138";"10000 10k 0402 0.1W 1% thick film resistor.";"P10.0KLCT-ND";"";"0.4";"";"";"0.07";"";"";"";"";"10k";"";
"3";"10k";"ERJ3EKF1002V";"0603";"R39, R48, R49";"10000 10k 0603 0.1W 1% thick film resistor.";"P10.0KHCT-ND";"";"";"";"";"0.10000";"";"";"";"";"10k";"";
"1";"10nF 250V";"885342206006";"0603";"C24";"10nF 250V X7R 10% 0603 MLCC.";"732-12168-1-ND";"";"1";"";"";"0.09";"";"";"";"";"10nF 250V";"";
"2";"10nF 50V";"CL10B103KB8NCNC";"0603";"C28, C41";"10nF 50V X7R 10% 0603 MLCC.";"1276-1921-1-ND";"";"1";"";"";"0.08";"";"";"";"";"10nF 50V";"";
"9";"10uF 10V";"0603ZD106KAT2A";"0603";"C49, C53, C84, C114, C118, C123, C151, C264, C267";"10000000 10V 10µF ±10% X5R 0603";"478-10766-1-ND";"";"-";"AVX Corporation";"";"0.07000";"38645";"X5R";"";"±10%";"10uF 10V";"10V";
"3";"10uF 10V";"C1206C106K8PACTU";"1206";"C103, C270, C271";"10000000 10V 10µF ±10% X5R 1206";"399-8152-1-ND";"";"-";"KEMET";"";"0.26000";"8489";"X5R";"";"±10%";"10uF 10V";"10V";
"1";"10uF 10V";"GRM188R61A106KE69D";"0603";"C164";"10uF 10V X5R 10% 0603 MLCC.";"490-10474-1-ND";"";"0.95";"";"";"0.17";"";"";"";"";"10uF 10V";"";
"1";"10uF 25V";"C1206C106K3PACTU";"1206";"C20";"10000000 25V 10µF ±10% X5R 1206";"399-6784-1-ND";"";"-";"KEMET";"";"0.28000";"138";"X5R";"";"±10%";"10uF 25V";"25V";
"1";"10uH";"SRN6045-100M";"SRN6045";"L8";"BOURNS  SRN6045-100M  Surface Mount Power Inductor, SRN6045 Series, 10 µH, 2.5 A, 3 A, Shielded, 0.0586 ohm";" SRN6045-100MCT-ND";"";"5";"";"";"0.45";"";"";"";"";"10uH";"";
"1";"12.4k";"CRCW060312K4FKEB";"0603";"R108";"12400 ±1% 12.4k Thick Film 0.1W, 1/10W 0603";"541-CRCW060312K4FKEBCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"26477";"";"";"±1%";"12.4k";"";
"4";"120";"ERJ-2RKF1200X";"0402";"R59, R79, R80, R98";"120 120 0402 0.1W 1% thick film resistor.";"P120LCT-ND";"";"0.4";"";"";"0.07";"";"";"";"";"120";"";
"1";"128x64 White OLED";"DEP_128064S-W";"DEP_128064S";"SCR1";"";"";"";"2.15";"";"";"14.18";"";"";"DEP128064S-W";"";"128x64 White OLED";"";
"1";"12k";"CRCW060312K0FKEA";"0603";"R23";"12000 12k0 0603 0.1W 1% thick film resistor.";"";"1652834";"0.5";"";"";"0.0095";"";"";"";"";"12k";"";
"1";"13.3k";"CRCW060313K3FKEA";"0603";"R84";"13300 ±1% 13.3k Thick Film 0.1W, 1/10W 0603";"541-13.3KHCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"19873";"";"";"±1%";"13.3k";"";
"1";"13k";"CRCW060313K0FKEA";"0603";"R136";"13000 ±1% 13k Thick Film 0.1W, 1/10W 0603";"541-13.0KHCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"197";"";"";"±1%";"13k";"";
"1";"150R 100MHz";"ILB1206ER151V";"1206";"FB2";"Ferrite bead, 100MHz, 150R, 0.8A, 1206";"541-2281-1-ND";"";"1.5";"";"";"0.14";"";"";"";"";"150R 100MHz";"";
"1";"158k";"CRCW0603158KFKEA";"0603";"R43";"158000 ±1% 158k Thick Film 0.1W, 1/10W 0603";"541-158KHCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"322";"";"";"±1%";"158k";"";
"1";"15PIN 0.5MM";"SFV15R-1STE1HLF";"SFV15R-1STE1HLF";"CN5";"15 Position FFC, FPC Connector Contacts, Bottom 0.020" (0.50mm) Surface Mount, Right Angle";"609-4311-1-ND";"";"1.8";"";"";"0.46";"";"";"";"";"15PIN 0.5MM";"";
"1";"15k";"CRCW060315K0FKEA";"0603";"R137";"15000 ±1% 15k Thick Film 0.1W, 1/10W 0603";"541-15.0KHCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"490";"";"";"±1%";"15k";"";
"2";"15k";"CRCW060315K0FKEB";"0603";"R5, R11";"15000 ±1% 15k Thick Film 0.1W, 1/10W 0603";"541-CRCW060315K0FKEBCT-ND";"";"1";"Vishay Dale";"0.1W, 1/10W";"0.07000";"2493";"";"";"±1%";"15k";"";
"1";"15uH 0.22R";"1231AS-H-150M=P3";"DEM3518C";"L9";"15µH Shielded Wirewound Inductor 1.1A 222 mOhm Max Nonstandard";"490-14188-1-ND";"";"1.8";"";"";"0.49";"";"";"";"";"15uH 0.22R";"";
"1";"16Mx32 SDRAM";"IS42S32160F-7BLI";"TFBGA90";"U2";"SDRAM Memory IC 512Mbit Parallel 143 MHz 5.4 ns 90-TFBGA (8x13)";"706-1365-ND";"";"2";"";"";"12.74";"";"";"";"";"16Mx32 SDRAM";"";
